candle_end_time,open,high,low,close,amount,info,ÅÅÃû,±ê×¼»¯³É½»Á¿,µ±ÈÕ³Ö²ÖÕÇµø·ù,µ±ÈÕ¿ª²ÖÕÇµø·ù,µ±ÈÕÆ½²ÖÕÇµø·ù,×Ê½ðÇúÏß,signal,pos,×´Ì¬,×îÖÕÕÇµø·ù
2007-03-09,2632.8,2643.81,2587.49,2611.39,70411300.0,,17.0,-0.19999999999999996,-0.00618047441991465,-0.008251036615199079,0.0018473164029944034,1.2633170302212287,,0.0,¿Õ²Ö,0.0
2007-03-12,2612.96,2619.5,2563.37,2616.17,62468900.0,,10.0,-0.55,0.0018304427910040832,0.001108358822304211,0.00048114023565992703,1.26562945977195,,0.0,¿Õ²Ö,0.0
2007-03-13,2620.72,2641.63,2605.23,2640.17,65788900.0,,14.0,-0.3500000000000001,0.009173715775351088,0.007300748501895132,0.0016189749137094367,1.2772399847128089,,0.0,¿Õ²Ö,0.0
2007-03-14,2609.93,2625.12,2546.65,2597.36,68952100.0,,18.0,-0.1499999999999999,-0.016214864951878072,-0.004935628849242459,-0.011572433441786045,1.2565297108495517,,0.0,¿Õ²Ö,0.0
2007-03-15,2595.54,2645.88,2595.54,2645.55,63778500.0,,13.0,-0.3999999999999999,0.018553454276650116,0.019145369399565862,-0.0008206274062895202,1.2798426773870513,,0.0,¿Õ²Ö,0.0
2007-03-16,2656.01,2665.39,2576.32,2604.23,75331800.0,,24.0,0.15000000000000002,-0.015618680425620424,-0.019613054959728198,0.003833334769707486,1.2598532236138726,,0.0,¿Õ²Ö,0.0
2007-03-19,2533.71,2674.8,2523.3,2659.41,73983600.0,,23.0,0.09999999999999998,0.021188604693133772,0.04948510646084558,-0.027195771955626058,1.2865477555403972,,0.0,¿Õ²Ö,0.0
2007-03-20,2669.64,2674.47,2645.25,2672.77,61249700.0,,10.0,-0.55,0.005023670663793833,0.0010523164483863838,0.0037262562748880956,1.2930109477574754,,0.0,¿Õ²Ö,0.0
2007-03-21,2685.93,2703.0,2666.89,2702.6,64613000.0,,15.0,-0.30000000000000004,0.011160705934292858,0.006085686117199835,0.0048031399634087535,1.3074418627152178,,0.0,¿Õ²Ö,0.0
2007-03-22,2720.46,2740.28,2702.41,2711.32,83308100.0,,35.0,0.7,0.0032265226078591613,-0.003479308411693747,0.006487658107008132,1.31166035344373,1.0,0.0,¿Õ²Ö,0.0
2007-03-23,2710.36,2726.62,2653.79,2716.27,73911900.0,,24.0,0.15000000000000002,0.0018256790050601435,0.002060274911670402,-0.00047402859123968355,1.3140550242127822,0.0,1.0,¿ª²Ö,0.002060274911670402
2007-03-26,2725.4,2764.4,2713.93,2764.03,76074800.0,,29.0,0.4,0.0175829354224728,0.014052379906529801,0.0032408236294623194,1.3371599688450915,1.0,0.0,Æ½²Ö,0.0032408236294623194
2007-03-27,2770.35,2789.97,2753.02,2784.02,80725100.0,,32.0,0.55,0.007232193572428658,0.004813816913053568,0.002166242045129607,1.3468305685770816,,1.0,¿ª²Ö,0.004813816913053568
2007-03-28,2787.24,2806.08,2689.11,2797.65,112210000.0,,41.0,1.0,0.0048957981623696245,0.00361444377998549,0.0010364620943814629,1.3534243791997445,,1.0,³Ö²Ö,0.0048957981623696245
